Date,QQQ,UUP,FXE,FXY,FXNAX,SEGA.MI
11/4/2011,52.346073,21.037615,137.116684,125.989998,9.017892,100.540001
11/7/2011,52.717388,21.018236,137.256683,126.25,9.017892,100.080002
11/8/2011,53.324173,20.921333,137.836624,126.800003,8.994934,99.989998
11/9/2011,51.449505,21.289562,135.016891,126.599998,9.017892,99.199997
11/10/2011,51.422329,21.231421,135.496841,126.860001,8.987274,99.160004
11/11/2011,52.391357,21.018236,136.986694,127.720001,8.979612,99.730003
11/14/2011,52.065327,21.163591,135.706818,127.809998,8.987274,99.209999
11/15/2011,52.644947,21.289562,134.786911,127.760002,8.979612,98.25
11/16/2011,51.775509,21.357397,134.216965,127.93,8.994934,98.279999
11/17/2011,50.561966,21.386467,134.136963,128.029999,8.994934,98.349998
11/18/2011,50.172539,21.328325,134.606918,128.059998,8.979612,98.739998
11/21/2011,49.212566,21.367085,134.486938,127.970001,8.979612,98.82
11/22/2011,49.375565,21.357397,134.576935,127.970001,8.987274,98.360001
11/23/2011,48.261639,21.599653,132.857101,127.360001,9.002587,97.470001
11/25/2011,47.89032,21.725626,131.887192,126.760002,8.971963,96.540001
11/28/2011,49.556705,21.638412,132.587128,126.339996,8.971963,97
11/29/2011,49.248775,21.56089,132.747101,126.470001,8.964309,97.290001
11/30/2011,51.069122,21.376776,133.837006,126.980003,8.970445,98.040001
12/2/2011,51.27742,21.434919,133.550003,126.32,9.001131,99.480003
12/5/2011,51.838921,21.434919,133.440002,126.769997,9.001131,100.650002
12/6/2011,51.694019,21.415539,133.479996,126.769997,8.993467,100.709999
12/7/2011,51.694019,21.386467,133.529999,126.830002,9.008817,100.5
12/8/2011,50.824593,21.50275,132.850006,126.739998,9.02416,99.650002
12/9/2011,51.639683,21.434919,133.199997,127.040001,8.993467,99.889999
12/12/2011,51.060062,21.657797,131.389999,126.449997,9.008817,99.989998
12/13/2011,50.498554,21.870979,129.800003,126.279999,9.02416,100.120003
12/14/2011,49.710663,21.919434,129.339996,126.199997,9.047185,100.480003
12/15/2011,49.574818,21.86129,129.639999,126.410004,9.039504,101.160004
12/16/2011,49.830055,21.793459,129.880005,126.57,9.055639,101.410004
12/19/2011,49.339558,21.870979,129.429993,126.190002,9.063323,101.519997
12/20/2011,50.801952,21.686865,130.270004,126.480003,9.032596,101.730003
