"","QQQ.Adjusted","FEZ.Adjusted","AIA.Adjusted","VNQ.Adjusted","IQQP.DE.Adjusted","UUP.Adjusted","FXE.Adjusted","FXY.Adjusted","FXNAX.Adjusted","SEGA.MI.Adjusted"
"60",52.690228,23.893141,32.433681,35.623177,24.309999,20.979475,138.168488,127.650002,8.915675,100.519997
"61",51.875141,22.989559,31.433235,34.850803,24.120001,21.115139,136.838989,128.300003,8.938672,100.779999
"62",52.518162,23.478388,32.078686,36.079884,23.879999,21.086067,137.04892,128.320007,8.938672,100.629997
"63",51.50383,23.085844,31.659138,35.663479,23.879999,21.10545,136.888977,128.360001,8.946337,100.339996
"64",51.250263,22.930304,31.279949,35.864956,23.459999,21.066687,137.25882,128.240005,8.938672,100.309998
"65",51.89325,23.656139,31.998007,37.047028,24,20.872881,138.388412,129.410004,8.931004,100.239998
"66",52.970959,24.004242,33.216278,37.967159,23.940001,20.82443,138.698288,129.490005,8.931004,99.989998
"67",51.929485,23.530231,32.667656,37.349266,23.73,20.843811,138.4384,129.720001,8.984665,100.5
"68",51.866089,23.826483,32.925831,37.624626,23.629999,20.843811,138.488358,129.240005,8.954,100.949997
"69",53.297005,25.863253,34.660461,39.411163,24.33,20.494959,141.297333,129.789993,8.915675,100.68
"70",53.378498,25.37443,34.450703,39.491756,24.370001,20.504652,140.997437,130.089996,8.946337,100.290001
"71",52.481934,23.915359,33.321167,39.048477,24.1,20.901951,137.818619,126.019997,9.030105,100.489998
"72",51.114407,22.515551,33.038784,37.792542,23.219999,21.124828,136.416748,125.769997,9.076219,101.099998
"73",51.549103,22.908092,34.02309,38.517887,23.23,21.076376,136.786728,126.220001,9.068529,100.839996
"74",52.617767,23.796865,34.16024,39.048477,23.41,20.979475,137.57663,126.220001,9.045472,100.620003
"75",52.346081,23.048813,33.990818,38.732822,23.469999,21.037617,137.116684,125.989998,9.053161,100.540001
"76",52.717396,23.108065,34.192516,38.739536,23.209999,21.018236,137.256683,126.25,9.053161,100.080002
"77",53.324165,23.611698,34.434566,39.243252,23.469999,20.921331,137.836624,126.800003,9.030105,99.989998
"78",51.449493,21.900812,32.675735,37.450008,23.059999,21.289564,135.016891,126.599998,9.053161,99.199997
"79",51.42231,22.434078,32.772533,37.443291,22.809999,21.231422,135.496841,126.860001,9.022419,99.160004
"80",52.391354,23.308037,33.692295,38.450741,23.129999,21.018236,136.986694,127.720001,9.014736,99.730003
"81",52.065331,22.582205,33.296963,37.738811,22.59,21.163589,135.706818,127.809998,9.022419,99.209999
"82",52.644939,22.411856,33.676159,38.020897,22.209999,21.289564,134.786911,127.760002,9.014736,98.25
"83",51.77552,22.004505,32.699921,37.658215,22.09,21.357395,134.216965,127.93,9.030105,98.279999
"84",50.56197,21.789722,32.08675,36.966431,21.6,21.386467,134.136963,128.029999,9.030105,98.349998
"85",50.172539,22.034136,32.199707,37.2015,21.66,21.328325,134.606918,128.059998,9.014736,98.739998
"86",49.212563,21.404585,31.304148,36.261219,21.040001,21.367085,134.486938,127.970001,9.014736,98.82
